source,sequence,type,actor,action,label,profile,start_utc,end_utc,start_utc_ns,end_utc_ns,event_wall_ms,status,code,response_chars,response_utf8_bytes,stdlib_import_ns,backend_import_ns,coordinator_ns,dispatch_ns,close_ns,serialize_ns,persist_ns,coverage_timings,consumed_delta
reader-outer-events.json,2,,,,reading_view,,2026-09-16T09:28:40.671000000Z,2026-09-16T09:28:47.244000000Z,1789550920671000000,1789550927244000000,6573.0,,,,,,,,,,,,{},{}
events.jsonl,7,call,reader,reading-view,,False,2026-09-16T09:28:45.857585200Z,2026-09-16T09:28:47.164972600Z,1789550925857585200,1789550927164972600,1307.3874,ok,,997,1372,20546300,73494200,296100,1231311200,12400,34800,1991500,{},"{""wall_ms"": 1218, ""read_bytes"": 4236, ""output_chars"": 284, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
reader-outer-events.json,3,,,,reading_recall,,2026-09-16T09:28:54.019000000Z,2026-09-16T09:29:07.981000000Z,1789550934019000000,1789550947981000000,13962.0,,,,,,,,,,,,{},{}
events.jsonl,8,call,reader,reading-recall,,False,2026-09-16T09:28:58.305884500Z,2026-09-16T09:29:38.337721200Z,1789550938305884500,1789550978337721200,40031.8367,partial,,355186,362764,20524600,78212500,227300,39947214100,15200,1563800,4180100,"{""/coverage/lanes/0/routes/0/elapsed_ms"": 1299.947899999097, ""/coverage/lanes/0/routes/1/elapsed_ms"": 3436.5872999915155, ""/coverage/lanes/0/routes/2/elapsed_ms"": 4769.250399986049, ""/coverage/lanes/0/routes/3/elapsed_ms"": 3328.682100007427, ""/coverage/lanes/0/routes/4/elapsed_ms"": 2203.186900005676, ""/coverage/lanes/0/ranking/condition_ms"": 0.006800008122809231, ""/coverage/lanes/0/ranking/model_load_ms"": 1000.3329000028316, ""/coverage/lanes/0/ranking/inference_ms"": 57.142499994370155, ""/coverage/lanes/0/ranking/total_ms"": 1058.5266999987653, ""/coverage/lanes/0/ranking/input_ms"": 5420.249999995576, ""/coverage/lanes/1/routes/0/elapsed_ms"": 1363.4190000011586, ""/coverage/lanes/1/routes/1/elapsed_ms"": 1401.6791000030935, ""/coverage/lanes/1/routes/2/elapsed_ms"": 1543.83229999803, ""/coverage/lanes/1/routes/3/elapsed_ms"": 1404.6333000005689, ""/coverage/lanes/1/routes/4/elapsed_ms"": 1590.3895999945235, ""/coverage/lanes/1/ranking/condition_ms"": 0.005699999746866524, ""/coverage/lanes/1/ranking/model_load_ms"": 1.9594000041252002, ""/coverage/lanes/1/ranking/inference_ms"": 31.692199991084635, ""/coverage/lanes/1/ranking/total_ms"": 34.50169999268837, ""/coverage/lanes/1/ranking/input_ms"": 1566.7893000063486, ""/coverage/lanes/2/routes/0/elapsed_ms"": 1313.888800010318, ""/coverage/lanes/2/routes/1/elapsed_ms"": 1316.3403999933507, ""/coverage/lanes/2/routes/2/elapsed_ms"": 1434.8617999930866, ""/coverage/lanes/2/routes/3/elapsed_ms"": 1267.7586000063457, ""/coverage/lanes/2/routes/4/elapsed_ms"": 1438.7583999923663, ""/coverage/lanes/2/ranking/condition_ms"": 0.0048000074457377195, ""/coverage/lanes/2/ranking/model_load_ms"": 1.597299997229129, ""/coverage/lanes/2/ranking/inference_ms"": 0.0, ""/coverage/lanes/2/ranking/total_ms"": 2.9678999999305233, ""/coverage/lanes/2/ranking/input_ms"": 1455.6046999932732}","{""wall_ms"": 39828, ""read_bytes"": 3583933, ""output_chars"": 26860, ""candidates"": 12, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 974, ""model_calls"": 8, ""model_input_tokens"": 974, ""model_output_tokens"": 0, ""rerank_items"": 2}"
reader-outer-events.json,4,,,,poll_reading_recall_94751,,2026-09-16T09:29:14.500000000Z,2026-09-16T09:29:24.512000000Z,1789550954500000000,1789550964512000000,10012.0,,,,,,,,,,,,{},{}
reader-outer-events.json,5,,,,poll_reading_recall_94751_2,,2026-09-16T09:29:28.394000000Z,2026-09-16T09:29:38.414000000Z,1789550968394000000,1789550978414000000,10020.0,,,,,,,,,,,,{},{}
reader-outer-events.json,6,,,,prepare_read_request,,2026-09-16T09:29:46.273000000Z,2026-09-16T09:29:46.273000000Z,1789550986273000000,1789550986273000000,0.0,,,,,,,,,,,,{},{}
reader-outer-events.json,7,,,,reading_read,,2026-09-16T09:30:04.002000000Z,2026-09-16T09:30:17.671000000Z,1789551004002000000,1789551017671000000,13669.0,,,,,,,,,,,,{},{}
events.jsonl,9,call,reader,reading-read,,False,2026-09-16T09:30:08.659587900Z,2026-09-16T09:30:17.575669400Z,1789551008659587900,1789551017575669400,8916.0815,ok,,332692,334552,20367400,80387100,226800,8829521200,12800,1405400,4235300,{},"{""wall_ms"": 8797, ""read_bytes"": 1303563, ""output_chars"": 1663, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
reader-outer-events.json,8,,,,note_generation_start,,2026-09-16T09:30:28.543000000Z,2026-09-16T09:30:28.543000000Z,1789551028543000000,1789551028543000000,0.0,,,,,,,,,,,,{},{}
reader-outer-events.json,9,,,,extract_fixed_read_packet_markdown,,2026-09-16T09:31:29.630000000Z,2026-09-16T09:31:31.017000000Z,1789551089630000000,1789551091017000000,1387.0,,,,,,,,,,,,{},{}
reader-outer-events.json,10,,,,reading_note,,2026-09-16T09:32:32.305000000Z,2026-09-16T09:32:37.983000000Z,1789551152305000000,1789551157983000000,5678.0,,,,,,,,,,,,{},{}
reader-outer-events.json,11,,,,reading_note_valid,,2026-09-16T09:33:21.941000000Z,2026-09-16T09:33:36.057000000Z,1789551201941000000,1789551216057000000,14116.0,,,,,,,,,,,,{},{}
events.jsonl,10,call,reader,reading-note,,False,2026-09-16T09:33:28.433055400Z,2026-09-16T09:33:35.967221000Z,1789551208433055400,1789551215967221000,7534.1656,ok,,688,696,21453100,163497700,236900,7367652200,10600,24700,2914200,{},"{""wall_ms"": 7327, ""read_bytes"": 857018, ""output_chars"": 0, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
reader-outer-events.json,12,,,,reading_decide_finish,,2026-09-16T09:33:56.613000000Z,2026-09-16T09:34:07.071000000Z,1789551236613000000,1789551247071000000,10458.0,,,,,,,,,,,,{},{}
events.jsonl,11,call,reader,reading-decide,,False,2026-09-16T09:34:00.877494600Z,2026-09-16T09:34:06.989843600Z,1789551240877494600,1789551246989843600,6112.349,ok,,603,693,23788300,77996100,267000,6030266300,15400,42900,3142900,{},"{""wall_ms"": 6000, ""read_bytes"": 820192, ""output_chars"": 0, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
reader-outer-events.json,13,,,,driver_mark_reader_finished,,2026-09-16T09:34:13.388000000Z,2026-09-16T09:34:17.020000000Z,1789551253388000000,1789551257020000000,3632.0,,,,,,,,,,,,{},{}
events.jsonl,12,mark,reader,,reader_finished,,2026-09-16T09:34:16.945710200Z,,1789551256945710200,,,,,,,,,,,,,,{},{}
root-outer-events.json,2,,,,main_reading_handoff,,2026-09-16T09:35:00.949000000Z,2026-09-16T09:35:14.661000000Z,1789551300949000000,1789551314661000000,13712.0,,,,,,,,,,,,{},{}
events.jsonl,13,call,main,reading-handoff,,False,2026-09-16T09:35:08.548746200Z,2026-09-16T09:35:14.575736000Z,1789551308548746200,1789551314575736000,6026.9898,partial,,2753,4798,24542300,73503800,289000,5950149600,12100,44300,3094800,{},"{""wall_ms"": 5937, ""read_bytes"": 820907, ""output_chars"": 2240, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
root-outer-events.json,3,,,,profile_handoff,,2026-09-16T09:36:06.353000000Z,2026-09-16T09:36:24.424000000Z,1789551366353000000,1789551384424000000,18071.0,,,,,,,,,,,,{},{}
events.jsonl,14,call,main,reading-handoff,,True,2026-09-16T09:36:14.731749600Z,2026-09-16T09:36:26.426328700Z,1789551374731749600,1789551386426328700,11694.5791,partial,,2753,4798,20698900,75900500,355300,11602056900,21300,39400,1918000,{},"{""wall_ms"": 11561, ""read_bytes"": 820907, ""output_chars"": 2240, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
root-outer-events.json,4,,,,profile_handoff_poll,,2026-09-16T09:36:35.954000000Z,2026-09-16T09:36:35.958000000Z,1789551395954000000,1789551395958000000,4.0,,,,,,,,,,,,{},{}
