seq,key,requested,used_before,used_after,held_before,remaining_before,limit,success,site
34,read_bytes,155,212568,212723,0,33341864,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:216:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
35,read_bytes,4602,212723,217325,0,33341709,33554432,True,reader.py:42:read_json > reader.py:78:read_record > reader.py:216:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
36,read_bytes,155,217325,217480,0,33337107,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
37,read_bytes,2608,217480,220088,0,33336952,33554432,True,reader.py:42:read_json > reader.py:78:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
38,read_bytes,155,220088,220243,0,33334344,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:216:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
39,read_bytes,5940,220243,226183,0,33334189,33554432,True,reader.py:42:read_json > reader.py:78:read_record > reader.py:216:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
40,read_bytes,155,226183,226338,0,33328249,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
41,read_bytes,3030,226338,229368,0,33328094,33554432,True,reader.py:42:read_json > reader.py:78:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
42,read_bytes,155,229368,229523,0,33325064,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:216:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
43,read_bytes,5306,229523,234829,0,33324909,33554432,True,reader.py:42:read_json > reader.py:78:read_record > reader.py:216:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
